TrueValues,PredictedValues
321,316.005917275515
223.15,308.903837215603
342,294.241903231615
251.15,255.396626161766
294,287.918561842014
283,326.193739316482
310,328.615657917633
297,290.559860409395
299,293.338033770599
333,333.189482616823
278,276.674571395858
309,306.588081974764
363,355.42444326278
345,368.004377168472
336,346.007899392022
295,293.848344668575
263,260.336151568272
242,240.23744058563
346,348.075741797061
323,335.81622981733
290,303.735582518717
270,261.829473283951
356,363.374041728256
368,366.808527270215
275,286.777486770122
277,275.744050400961
334.15,338.036934153017
315,311.278235673423
331,337.280348022245
304,295.926840583662
289.15,290.667758026932
311,316.207031952269
379,375.256552109945
407,375.753827671581
280,275.211896168427
308,309.789625161355
269,249.207155254995
303,301.425020553479
365,363.405907209011
405,372.961763161392
318,331.702151611014
331,336.189019786233
352,376.893528548762
319,329.190464836541
355,360.172987020317
316,315.968082998582
337,338.01094858689
302,303.883748460482
344,341.176177415534
358,370.079244871619
338,346.717753313839
323,326.899707522392
297,296.530302420278
318,318.705091080936
301,289.551651610324
290.15,279.483354682238
351,348.266406242598
299,294.471621004311
267,278.475350104521
275.25,277.846433838449
375,365.14557032695
337,344.144050286955
336,365.12214377974
335,334.868308641415
362.15,368.861636463009
383,370.715624922847
359,372.538240618244
373,373.254334754187
264,263.004051390035
228,246.271142959173
318,319.473438039152
323.15,330.368771160799
316,311.026908346792
318,311.820929347091
270,248.636350102956
234.15,230.320938572601
373,371.384378776286
324,318.876173026551
382,375.658854680123
274,278.935288645257
310,305.31711261602
270,272.087419470588
397,372.21138628143
328,326.033995029768
318,318.608422080221
306,305.74205597416
294,290.953620388243
286,282.153011595031
324,326.478087236838
228,242.195216689523
310,309.675337716534
275,273.800575048611
336,332.684417627773
293,291.989839716531
327,329.208442183823
287,286.709812109665
376,375.285236279481
366,356.217720208937
345,348.449604165596
300,307.527560923443
245,251.266243183275
293,296.432256797311
235,242.511078695459
309,301.894090486252
406,374.501163882565
364,363.203727923054
368,367.106760538087
328,339.031421130662
289,289.972205997858
252,264.100271653965
348,360.987475913195
263,264.730299962534
416,379.460982777237
315,327.584323437632
367,360.245846300281
266,270.010996547504
291,290.407710339761
277.15,265.987989626039
336,339.615047088202
324,322.536062163954
236,229.718109530683
341,337.938296686711
322,316.743979977044
284,285.385501947949
347,366.162285573577
390.35,375.63140947775
367.95,367.237989603285
305.35,310.070301473968
382.45,373.646132367968
308.45,306.092493544262
330.05,332.227991633063
380.95,369.537465541097
314.85,316.731309876729
287.95,290.058896900863
309.25,311.901554491119
281.75,279.562637333707
